"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.072400208E0,7.011120300E0,-6.670877838E0,1.124162292E0
3.082396208E0,7.049290924E0,-6.754254456E0,1.148262177E0
3.092392208E0,7.045249329E0,-6.766528931E0,1.149160309E0
3.102387208E0,7.032076721E0,-6.738986206E0,1.186881866E0
3.112383208E0,7.023993530E0,-6.697672119E0,1.179696808E0
3.122379208E0,7.049440613E0,-6.647077332E0,1.185834045E0
3.132374208E0,7.097041626E0,-6.613097992E0,1.156644745E0
3.142370208E0,7.162305908E0,-6.607110443E0,1.101409607E0
3.152366208E0,7.208110657E0,-6.606511688E0,1.084794159E0
3.162361208E0,7.177424469E0,-6.605164490E0,1.052611084E0
3.172357208E0,7.128925323E0,-6.558461609E0,1.029259644E0
3.182353208E0,7.093748474E0,-6.549480286E0,1.018631744E0
3.192348208E0,7.073540497E0,-6.543492737E0,9.740245056E-1
3.202344208E0,7.083569641E0,-6.562203827E0,9.386979675E-1
3.212339208E0,7.123835907E0,-6.566844177E0,9.315129089E-1
3.222335208E0,7.154671783E0,-6.590944061E0,9.026229858E-1
3.232331208E0,7.178621979E0,-6.618935852E0,9.307644653E-1
3.242326208E0,7.176077271E0,-6.578370209E0,1.014590149E0
3.252322208E0,7.142846375E0,-6.539750519E0,1.082099762E0
3.262318208E0,7.133266296E0,-6.546187134E0,1.156345367E0
3.272313208E0,7.107220459E0,-6.572532349E0,1.180594940E0
3.282309208E0,7.061266022E0,-6.542744293E0,1.175804901E0
3.292305208E0,7.044500885E0,-6.533014526E0,1.156045990E0
3.302300208E0,7.097041626E0,-6.548282776E0,1.120569763E0
3.312296208E0,7.177424469E0,-6.557413788E0,1.066981201E0
3.322292208E0,7.250921631E0,-6.541995850E0,9.874964905E-1
3.332287208E0,7.286098480E0,-6.507268066E0,9.452842712E-1
3.342283208E0,7.266339569E0,-6.490502930E0,9.141490173E-1
3.352279208E0,7.234156494E0,-6.448141022E0,8.271798706E-1
3.362274208E0,7.243287506E0,-6.416556702E0,9.145980835E-1
3.372270208E0,7.228168945E0,-6.436914368E0,9.756710815E-1
3.382265208E0,7.228767700E0,-6.491999817E0,1.071022797E0
3.392261208E0,7.212152252E0,-6.544989624E0,1.129850464E0
3.402257208E0,7.180567932E0,-6.567293243E0,1.166823578E0
3.412252208E0,7.149582367E0,-6.580914917E0,1.167122955E0
3.422248208E0,7.103927307E0,-6.582711182E0,1.121018829E0
3.432244208E0,7.059918823E0,-6.531068573E0,1.123114471E0
3.442239208E0,7.064409485E0,-6.514752502E0,1.084494781E0
3.452235208E0,7.129224701E0,-6.546486511E0,1.043180695E0
3.462231208E0,7.161557465E0,-6.535259857E0,1.048419800E0
3.472226208E0,7.182513885E0,-6.503376160E0,1.062640228E0
3.482222208E0,7.222181396E0,-6.550977173E0,1.121617584E0
3.492218208E0,7.218888245E0,-6.594835968E0,1.162781982E0
3.502213208E0,7.193141785E0,-6.637197876E0,1.208886108E0
3.512209208E0,7.145391083E0,-6.677763519E0,1.207987976E0
3.522205208E0,7.069199524E0,-6.667884064E0,1.131197662E0
3.532200208E0,6.997199249E0,-6.634204102E0,1.036744080E0
3.542196208E0,6.966812439E0,-6.611152039E0,9.482780457E-1
3.552192208E0,7.000342712E0,-6.604865112E0,9.616003418E-1
3.562187208E0,7.040159912E0,-6.593339081E0,9.952803040E-1
3.572183208E0,7.083419952E0,-6.549929352E0,1.031804352E0
3.582178208E0,7.112609253E0,-6.532864838E0,1.098565521E0
3.592174208E0,7.098837891E0,-6.497089233E0,1.158890076E0
3.602170208E0,7.063062286E0,-6.482569427E0,1.192120972E0
3.612165208E0,7.008575592E0,-6.507717133E0,1.187031555E0
3.622161208E0,6.969057770E0,-6.523883514E0,1.134191437E0
3.632157208E0,6.971452789E0,-6.558461609E0,1.060843964E0
3.642152208E0,6.961423645E0,-6.604715424E0,9.933343506E-1
3.652148208E0,6.977889404E0,-6.630910950E0,9.373507690E-1
3.662144208E0,7.029082947E0,-6.649023285E0,9.050180054E-1
3.672139208E0,7.070097656E0,-6.635251923E0,8.987310791E-1
3.682135208E0,7.124584351E0,-6.559060364E0,9.154962158E-1
3.692131208E0,7.185956726E0,-6.516997833E0,9.999206543E-1
3.702126208E0,7.210056610E0,-6.516848145E0,1.081351318E0
3.712122208E0,7.216942291E0,-6.516399078E0,1.178199921E0
3.722118208E0,7.212152252E0,-6.551725616E0,1.229243774E0
3.732113208E0,7.230264587E0,-6.620582428E0,1.225351868E0
3.742109208E0,7.235054626E0,-6.623127136E0,1.202299805E0
3.752108083E0,7.202721863E0,-6.584806824E0,1.153800659E0
3.762104083E0,7.171586609E0,-6.537954254E0,1.104702759E0
3.772100083E0,7.177873535E0,-6.503076782E0,1.090931396E0
3.782095083E0,7.167395325E0,-6.471342773E0,1.061742096E0
3.792091083E0,7.169341278E0,-6.442153473E0,1.020577698E0
3.802087083E0,7.173083496E0,-6.451733551E0,9.874964905E-1
3.812082083E0,7.162754974E0,-6.517446899E0,9.030720520E-1
3.822078083E0,7.135960693E0,-6.522087250E0,8.954379272E-1
3.832074083E0,7.132068787E0,-6.497238922E0,9.291178894E-1
3.842069083E0,7.142397308E0,-6.502777405E0,1.005309448E0
3.852065083E0,7.189100189E0,-6.476132812E0,1.093775482E0
3.862061083E0,7.266638947E0,-6.475683746E0,1.162931671E0
3.872056083E0,7.340435486E0,-6.493347015E0,1.187630310E0
3.882052083E0,7.359146576E0,-6.539600830E0,1.178648987E0
3.892048083E0,7.369924164E0,-6.566245422E0,1.127156067E0
3.902043083E0,7.349566498E0,-6.599925385E0,1.030008087E0
3.912039083E0,7.305108948E0,-6.576873322E0,9.605525208E-1
3.922035083E0,7.249275055E0,-6.536008301E0,9.710307312E-1
3.932030083E0,7.212301941E0,-6.489006042E0,1.085841980E0
3.942026083E0,7.190896454E0,-6.465654602E0,1.152752838E0
3.952022083E0,7.183262329E0,-6.486760712E0,1.171763306E0
3.962017083E0,7.180418243E0,-6.528673553E0,1.101708984E0
3.972013083E0,7.162605286E0,-6.556515656E0,1.008752289E0
3.982009083E0,7.146588593E0,-6.551575928E0,9.448352051E-1
3.992004083E0,7.144193573E0,-6.538702698E0,9.252259827E-1
4.002000083E0,7.127129059E0,-6.540798340E0,9.496252441E-1
4.011995083E0,7.085216217E0,-6.556665344E0,1.004411316E0
4.021991083E0,7.030430145E0,-6.586303711E0,1.068328400E0
4.031987083E0,7.022646332E0,-6.611601105E0,1.102158051E0
4.041982083E0,7.064259796E0,-6.625372467E0,1.094523926E0
4.051978083E0,7.148235168E0,-6.644532623E0,1.077908478E0
4.061974083E0,7.187752991E0,-6.624773712E0,1.084794159E0
4.071969083E0,7.218588867E0,-6.575376434E0,1.102457428E0
4.081965083E0,7.223079529E0,-6.595434723E0,1.096769257E0
4.091961083E0,7.168592834E0,-6.583609314E0,1.106648712E0
4.101956083E0,7.065756683E0,-6.523733826E0,1.097817078E0
