"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.318529508E1,-2.860342407E1,4.207030487E1,-2.630764771E1
4.319529108E1,-2.871664429E1,4.170877075E1,-2.647566223E1
4.320528608E1,-2.892315292E1,4.157088852E1,-2.665423584E1
4.321528208E1,-2.922228622E1,4.140709305E1,-2.697200012E1
4.322527808E1,-2.946046448E1,4.114749527E1,-2.722418213E1
4.323527408E1,-2.966090393E1,4.103382111E1,-2.758453369E1
4.324526908E1,-2.992864227E1,4.076347733E1,-2.771514893E1
4.325526508E1,-3.013388062E1,4.050085449E1,-2.784384155E1
4.326526108E1,-3.037709808E1,4.041286850E1,-2.805062866E1
4.327525708E1,-3.048103333E1,4.018625259E1,-2.816133118E1
4.328525208E1,-3.080640793E1,4.012965775E1,-2.818663025E1
4.329524808E1,-3.108959198E1,3.985640335E1,-2.831892395E1
4.330524408E1,-3.137482071E1,3.963435745E1,-2.831243896E1
4.331524008E1,-3.162269974E1,3.951264954E1,-2.857667542E1
4.332523508E1,-3.169547272E1,3.917859650E1,-2.853007507E1
4.333523108E1,-3.212973785E1,3.915475845E1,-2.868943787E1
4.334522708E1,-3.237388992E1,3.894217682E1,-2.869949341E1
4.335522308E1,-3.259889984E1,3.878027344E1,-2.882185364E1
4.336521808E1,-3.300508881E1,3.874746704E1,-2.879028320E1
4.337521408E1,-3.302293015E1,3.835052490E1,-2.876188660E1
4.338521008E1,-3.337403488E1,3.805892181E1,-2.882937622E1
4.339520608E1,-3.354484177E1,3.795740509E1,-2.892871094E1
4.340520208E1,-3.375577545E1,3.763228607E1,-2.899209595E1
4.341519708E1,-3.408106613E1,3.757076645E1,-2.909532166E1
4.342519308E1,-3.410409164E1,3.739749527E1,-2.885946655E1
4.343518908E1,-3.431863785E1,3.720184326E1,-2.889675903E1
4.344518508E1,-3.462635803E1,3.722900009E1,-2.892012024E1
4.345518008E1,-3.490516281E1,3.727520752E1,-2.866642761E1
4.346517608E1,-3.511631393E1,3.712770844E1,-2.855729675E1
4.347517208E1,-3.512520218E1,3.708937454E1,-2.843644714E1
4.348516808E1,-3.553329468E1,3.700503159E1,-2.852806091E1
4.349516308E1,-3.558103180E1,3.683971024E1,-2.867803955E1
4.350515908E1,-3.563144684E1,3.651477814E1,-2.864826965E1
4.351515508E1,-3.587208557E1,3.641309738E1,-2.871476746E1
4.352515108E1,-3.591531372E1,3.619974518E1,-2.888447571E1
4.353514608E1,-3.618370438E1,3.594367981E1,-2.889326477E1
4.354514208E1,-3.623007202E1,3.566775513E1,-2.905638123E1
4.355513808E1,-3.638076782E1,3.550192642E1,-2.902244568E1
4.356513408E1,-3.680451584E1,3.545613861E1,-2.887936401E1
4.357512908E1,-3.693896103E1,3.515594101E1,-2.855226135E1
4.358512508E1,-3.725542831E1,3.501520157E1,-2.822680664E1
4.359512108E1,-3.758850098E1,3.485325623E1,-2.830053711E1
4.360511708E1,-3.775430298E1,3.460284042E1,-2.815725708E1
4.361511308E1,-3.802105713E1,3.458606339E1,-2.795225525E1
4.362510808E1,-3.820001221E1,3.449673080E1,-2.778654480E1
4.363510408E1,-3.832258606E1,3.442215347E1,-2.763697815E1
4.364510008E1,-3.831108093E1,3.452143860E1,-2.779995728E1
4.365509608E1,-3.832609177E1,3.438668823E1,-2.776130676E1
4.366509108E1,-3.831631470E1,3.441604996E1,-2.776213074E1
4.367508708E1,-3.830649948E1,3.423427200E1,-2.766439819E1
4.368508308E1,-3.815855789E1,3.421380997E1,-2.777798462E1
4.369507908E1,-3.815638351E1,3.431786728E1,-2.775476074E1
4.370507408E1,-3.811095428E1,3.432949448E1,-2.774440002E1
4.371507008E1,-3.796944427E1,3.461759949E1,-2.779432678E1
