"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.978277958e0,-2.049644383e0,-4.484339027e0,-3.909406870e0,6.292360501e0
1.988329958e0,-2.932626572e0,-5.200856833e0,-4.125536917e0,7.257359386e0
1.998381958e0,-3.936788211e0,-5.837868878e0,-4.109702657e0,8.152832047e0
2.008433958e0,-4.375870253e0,-6.342164331e0,-3.795217765e0,8.589235516e0
2.018485958e0,-4.178668812e0,-6.745797628e0,-3.059936829e0,8.504720575e0
2.028538958e0,-3.634702340e0,-7.064227052e0,-2.006841595e0,8.194008673e0
2.038590958e0,-3.137205445e0,-7.165694954e0,-4.636105263e-1,7.836081731e0
2.048642958e0,-2.883552645e0,-6.768462020e0,1.694913690e0,7.549813666e0
2.058694958e0,-3.195850679e0,-6.023091713e0,3.598064856e0,7.709550315e0
2.068747958e0,-3.729598557e0,-5.544808184e0,4.182500492e0,7.883407484e0
2.078799958e0,-4.228568950e0,-5.125472190e0,4.436584524e0,7.989652231e0
2.088851958e0,-4.961292899e0,-4.414006086e0,5.095278922e0,8.370169906e0
2.098903958e0,-5.830848126e0,-3.581964255e0,6.091160905e0,9.161413590e0
2.108955958e0,-6.484292017e0,-2.929551521e0,7.093897578e0,1.004747222e1
2.119008958e0,-6.803611972e0,-2.246940257e0,8.054902089e0,1.078050667e1
2.129060958e0,-6.731846171e0,-1.427862288e0,8.787336016e0,1.116126417e1
2.139112958e0,-6.115645536e0,-5.262687045e-1,8.870810866e0,1.078746330e1
2.149164958e0,-5.203912588e0,2.340982488e-1,8.313102268e0,9.810360724e0
2.159217958e0,-4.173332643e0,7.672152123e-1,7.465751842e0,8.587361358e0
2.169269958e0,-3.207753271e0,1.191385977e0,6.653654280e0,7.481991504e0
2.179321958e0,-2.659633521e0,1.534931531e0,6.000562391e0,6.740653847e0
2.189373958e0,-2.598421360e0,1.811046994e0,5.607916013e0,6.440528456e0
2.199426958e0,-2.571460433e0,1.981120863e0,5.099239826e0,6.044790769e0
2.209478958e0,-2.194648899e0,2.194198956e0,4.379904247e0,5.367918970e0
2.219530958e0,-1.300894386e0,2.538187145e0,3.817677505e0,4.765436152e0
2.229582958e0,-5.223896617e-1,2.709913729e0,3.196096554e0,4.222742777e0
2.239634958e0,1.160286391e-1,2.756674205e0,2.307899526e0,3.597098211e0
2.249687958e0,8.092499685e-1,2.745369198e0,1.449038710e0,3.208060275e0
2.259739958e0,1.366759762e0,2.594586463e0,7.277245796e-1,3.021505291e0
2.269791958e0,1.793339286e0,2.377409472e0,1.459014791e-1,2.981514520e0
2.279843958e0,2.119173625e0,2.154451631e0,-3.809422991e-1,3.045927727e0
2.289896958e0,2.507383136e0,1.940193569e0,-8.445592573e-1,3.280945232e0
2.299948958e0,2.934339221e0,1.861105592e0,-1.204800659e0,3.677717406e0
2.310000958e0,3.274078238e0,1.825782270e0,-1.464932173e0,4.024809993e0
2.320052958e0,3.576222582e0,1.751395454e0,-1.669777387e0,4.317975280e0
2.330104958e0,3.690456710e0,1.586012807e0,-1.730979316e0,4.373922353e0
2.340157958e0,3.563565114e0,1.419446683e0,-1.598349555e0,4.155544069e0
2.350209958e0,3.485589570e0,1.477329732e0,-1.398158433e0,4.035676497e0
2.360261958e0,3.383321768e0,1.540513283e0,-1.306299259e0,3.940363577e0
2.370313958e0,3.258266197e0,1.561670848e0,-1.233365477e0,3.817892724e0
2.380366958e0,3.074978791e0,1.534847916e0,-1.305588238e0,3.676385907e0
2.390418958e0,2.710505467e0,1.344723360e0,-1.328293269e0,3.304464224e0
2.400470958e0,2.094258054e0,1.140285990e0,-1.072262553e0,2.614558455e0
2.410522958e0,1.290930145e0,8.724133462e-1,-6.889645565e-1,1.703607304e0
2.420575958e0,6.171519774e-1,7.452668113e-1,-7.708004326e-2,9.706907418e-1
2.430627958e0,-7.061506927e-2,1.000063911e0,4.555097938e-1,1.101182767e0
2.440679458e0,-7.771809143e-1,1.287018358e0,7.192639509e-1,1.666663451e0
2.450731458e0,-1.237309424e0,1.493356658e0,9.588392866e-1,2.163428181e0
2.460783458e0,-1.786290468e0,1.728105410e0,1.061659358e0,2.702647320e0
2.470836458e0,-2.677958695e0,1.807735131e0,9.040833279e-1,3.355105921e0
2.480888458e0,-4.084301183e0,1.280094085e0,5.109073381e-1,4.310589673e0
2.490940458e0,-5.354941490e0,1.509613672e0,2.276449692e-1,5.568316984e0
2.500992458e0,-5.888588796e0,1.777971050e0,-3.391268134e-2,6.151244519e0
2.511045458e0,-6.961412535e0,1.107705889e0,-3.601134937e-1,7.058183800e0
