"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.382265208E0,-6.358757615E-2,5.685780570E-2,-3.516939282E-2
3.392261208E0,-4.314524308E-2,3.802558407E-2,-4.267660528E-2
3.402257208E0,-2.265221439E-2,1.419588365E-2,-3.942914680E-2
3.412252208E0,-9.055240080E-3,-7.010706700E-3,-2.737069875E-2
3.422248208E0,-3.429844975E-3,-1.198282838E-2,-2.081453055E-2
3.432244208E0,-5.432338454E-3,-4.339254461E-3,-1.005037501E-2
3.442239208E0,-8.562884293E-3,5.547198001E-3,-9.923875332E-3
3.452235208E0,-2.186865360E-2,9.861156344E-3,-1.244254690E-2
3.462231208E0,-2.911484987E-2,6.326076109E-3,-1.610599086E-2
3.472226208E0,-3.360810876E-2,-1.663688803E-3,-2.680182829E-2
3.482222208E0,-2.279647067E-2,-2.291396027E-3,-3.137926757E-2
3.492218208E0,-4.522243980E-3,9.909405373E-3,-4.175847769E-2
3.502213208E0,2.119110897E-2,1.472546533E-2,-4.977192730E-2
3.512209208E0,4.463201389E-2,1.413928811E-2,-4.988143221E-2
3.522205208E0,4.552657157E-2,1.126919966E-2,-4.327146709E-2
3.532200208E0,2.451943792E-2,1.601528004E-2,-2.628323063E-2
3.542196208E0,-1.335017942E-2,2.429344878E-2,-8.363619447E-3
3.552192208E0,-4.957955331E-2,2.646738663E-2,-1.059101429E-3
3.562187208E0,-7.645671070E-2,3.413382918E-2,7.550437003E-4
3.572183208E0,-8.649321645E-2,5.022431165E-2,-1.953281928E-3
3.582178208E0,-7.376304269E-2,7.038550824E-2,-1.318543032E-2
3.592174208E0,-4.699525237E-2,8.172666281E-2,-2.167804353E-2
3.602170208E0,-1.317763515E-2,8.820373565E-2,-2.670555934E-2
3.612165208E0,1.887590066E-2,7.106308639E-2,-3.078215010E-2
3.622161208E0,4.458552599E-2,3.785267472E-2,-2.661217190E-2
3.632157208E0,5.362749472E-2,7.513873279E-4,-1.745293848E-2
3.642152208E0,5.096406490E-2,-3.110294975E-2,-5.314516835E-3
3.652148208E0,2.870044671E-2,-5.345068499E-2,9.299509227E-3
3.662144208E0,5.545616150E-4,-5.159286410E-2,1.967678219E-2
3.672139208E0,-3.594568372E-2,-2.753836289E-2,2.821936645E-2
3.682135208E0,-6.628201902E-2,8.889419958E-3,2.891258709E-2
3.692131208E0,-7.988455147E-2,4.616590589E-2,2.374936827E-2
3.702126208E0,-6.890726835E-2,7.219883800E-2,2.057674527E-2
3.712122208E0,-4.726328701E-2,7.688909024E-2,1.570494473E-2
3.722118208E0,-1.755119674E-2,5.882194266E-2,1.443062350E-2
3.732113208E0,4.426598549E-3,2.819236368E-2,9.272247553E-3
3.742109208E0,2.464371920E-2,1.328524668E-3,8.246131241E-3
3.752108083E0,3.714823723E-2,-2.381180786E-2,6.185347214E-3
3.762104083E0,3.509547189E-2,-3.604264185E-2,1.031937264E-2
